,Is safe from accidents,Has comftarble seating,Gives me the ability to work read and sleep,Is relaxing,Is mostly on time,Can interact with tohers,Is clean,Is good for the environment,Is a good value for the money,Is convienent to use,Overall Rating
0,3,8,7,3,2,4,3,7,4,2,8
1,2,7,2,2,9,10,2,1,8,7,10
2,2,3,4,4,1,6,1,3,6,7,4
3,5,10,8,10,1,9,1,10,10,4,4
4,5,5,8,8,7,7,8,7,7,1,9
5,5,10,6,8,6,5,2,5,3,2,5
6,7,8,4,6,2,8,2,3,9,9,3
7,2,3,7,7,6,5,2,7,4,8,5
8,9,5,9,9,4,3,6,9,5,9,2
9,7,3,3,1,8,3,4,3,3,5,6
10,4,1,8,5,1,4,7,10,8,4,6
11,9,7,4,10,5,4,5,7,7,4,1
12,3,6,5,8,9,2,2,3,3,5,2
13,1,7,3,10,5,5,1,8,2,1,8
14,10,1,6,5,6,8,3,8,2,8,2
15,10,3,6,2,9,3,10,3,6,2,3
16,1,1,7,10,7,10,7,9,2,1,2
17,6,6,9,9,2,5,2,6,10,6,6
18,4,10,3,5,1,8,7,3,7,3,1
19,5,10,2,6,8,5,7,1,6,3,2
20,5,10,6,7,4,3,5,1,9,6,6
21,2,8,1,5,4,10,7,7,6,3,6
22,5,10,7,9,4,3,4,4,10,4,2
23,10,2,4,10,6,1,8,7,10,10,9
24,4,8,4,4,2,5,3,6,6,2,1
25,7,2,3,1,4,1,3,7,8,8,7
26,3,6,1,6,5,1,5,8,10,9,2
27,5,2,1,9,7,5,8,6,7,6,7
28,2,2,8,3,1,6,8,5,7,2,9
29,3,4,4,1,3,4,2,4,2,5,9
30,5,10,7,7,2,10,9,5,5,1,8
31,8,8,7,8,6,1,2,1,9,8,1
32,5,1,6,8,1,3,9,4,3,4,8
33,1,10,4,8,4,6,2,10,8,9,5
34,3,8,5,4,2,3,2,2,5,8,6
35,4,10,6,9,2,7,5,7,8,8,9
36,9,7,5,3,7,10,8,7,7,3,8
37,8,2,4,6,2,6,5,3,2,4,3
38,5,7,3,6,1,8,8,10,5,7,7
39,8,5,10,9,7,6,5,6,4,10,9
40,4,5,8,9,9,4,7,6,6,9,10
41,1,3,3,2,8,2,7,10,6,1,5
42,6,5,10,3,4,10,7,3,8,1,9
43,2,9,10,1,8,6,10,1,3,6,9
44,9,2,10,2,9,9,8,8,3,5,9
45,6,1,3,1,9,4,5,2,7,3,10
46,9,6,10,3,8,10,5,3,2,1,6
47,5,1,9,10,6,1,9,7,3,3,9
48,9,3,7,5,4,9,5,5,10,5,8
49,9,4,9,7,1,5,7,1,6,1,3
50,7,10,10,6,9,1,6,7,8,8,6
51,9,5,8,3,2,4,2,5,7,10,9
52,1,10,10,4,6,6,3,6,3,3,1
53,5,2,6,7,1,2,5,7,8,3,6
54,1,5,4,8,7,3,2,8,10,9,9
55,1,4,3,2,1,2,1,8,1,1,3
56,6,2,7,5,10,4,9,6,6,1,7
57,5,2,6,9,7,4,10,8,8,7,10
58,7,6,4,9,10,1,1,3,2,4,10
59,1,3,4,1,1,4,7,1,7,8,7
60,2,8,5,9,10,9,3,10,4,3,9
61,6,10,6,8,2,3,4,4,8,1,4
62,8,4,5,3,2,2,8,2,10,4,8
63,4,7,6,8,4,10,2,7,3,2,10
64,10,10,5,3,1,4,3,6,1,9,10
65,6,1,2,6,3,2,10,4,6,5,4
66,1,3,8,5,1,1,9,6,5,8,1
67,3,9,8,2,5,2,7,6,7,7,2
68,2,6,4,9,9,7,10,2,10,4,5
69,4,1,6,9,5,9,9,4,7,2,8
70,7,4,3,10,1,6,4,7,1,9,5
71,6,9,8,2,3,9,8,4,5,2,3
72,4,5,1,1,5,2,6,2,1,3,7
73,8,2,10,1,3,8,6,8,3,9,4
74,6,5,7,4,2,1,1,7,10,8,9
75,2,9,10,6,2,10,9,8,6,10,9
