,Interactional Dominance,Individual Dominance,Average Partial Dominance,Total Dominance,Percentage Relative Importance
Is clean,0.0005453804548990471,0.000551867620766755,0.0005486732561311859,0.000548663412471529,29.25282462488743
Is good for the environment,0.0004990301639251626,0.0004847180562995712,0.0004919468492711526,0.0004919323014393954,26.22811912407342
Is mostly on time,0.0003715254251601685,0.0003517996996631467,0.0003616972070784301,0.0003616902781450756,19.284067489471408
Is a good value for the money,0.00022313930929862558,0.00022580362114443808,0.00022448872814616387,0.00022448527556123747,11.96877401990637
Gives me the ability to work read and sleep,0.00010575935748158294,0.00011638992573725915,0.00011106195807146552,0.00011106449477905661,5.921572523285507
Is convienent to use,6.652259853245912e-05,7.237163516526923e-05,6.950614713385849e-05,6.949434107685962e-05,3.705196529846933
Is relaxing,5.074751213285378e-05,4.9556362432090495e-05,5.013891946857733e-05,5.0141523031356296e-05,2.673371590523422
Is safe from accidents,1.8302113289014876e-05,1.6856699320055846e-05,1.7642669306247583e-05,1.7630016705905138e-05,0.9399711646681754
Has comftarble seating,6.795837420581208e-07,1.738410829732473e-07,4.282837693861441e-07,4.279694980120521e-07,0.022817844940220645
Can interact with tohers,1.1785807363384748e-07,1.5261081287576417e-09,6.209551452102863e-08,6.161482979308341e-08,0.0032850883971106567
