,Interactional Dominance,Individual Dominance,Average Partial Dominance,Total Dominance,Percentage Relative Importance
Is good for the environment,0.000232995435173744,0.00022872856736444458,0.00023089380039746738,0.0002308874405717928,28.40421712166367
Has comftarble seating,0.00014501681563539037,0.00014021876782988052,0.00014263062449134225,0.00014262805793960087,17.546378076368107
Is mostly on time,0.00013760957222019865,0.00013524096771788674,0.00013649113371200062,0.00013647796096340903,16.789781314766767
Can interact with tohers,0.0001025577495212815,0.00010483069440359039,0.0001037604818924982,0.00010374722990648576,12.763183812584538
Is relaxing,9.552306335525174e-05,9.32524626982012e-05,9.4402724089783e-05,9.439973187717169e-05,11.613236622250456
Gives me the ability to work read and sleep,5.5319852977353534e-05,5.263451794712548e-05,5.399345367623192e-05,5.3990200033433444e-05,6.641978274755273
Is safe from accidents,2.2128419133182753e-05,2.191268294604587e-05,2.204461431066682e-05,2.203980165645632e-05,2.7113788000682977
Is a good value for the money,1.1823971976299141e-05,1.1770932739518791e-05,1.1817491952249386e-05,1.1813484033381302e-05,1.4533175326318013
Is clean,9.937164123785536e-06,1.1460215730396683e-05,1.0720648668612428e-05,1.0716256920308164e-05,1.3183345423300192
Is convienent to use,6.3358293458382065e-06,5.959741931405027e-06,6.166903025547215e-06,6.163079548162095e-06,0.7581939025810637
